Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Location,location_area,Price_in_Cr,is_commercial,is_residential,Price_per_sqft,floor_level
We Are Offering You A Very Spacious 1960 Sq Ft Flat For Sale In Gulshan 1,3.0,4.0,3.0,vacant,1960.0,dhaka,"Gulshan 1, Gulshan",gulshan,3.9,0.0,1.0,19897.96,low
Valuable 1705 Square Feet Apartment Is Ready To Sale In Kalabagan,3.0,3.0,1.0,vacant,1705.0,dhaka,"Lake Circus Road, Kalabagan",kalabagan,1.69,0.0,1.0,9912.02,low
1370 square feet apartment is ready to sale in Shukrabad,3.0,3.0,6.0,vacant,1370.0,dhaka,"Shukrabad, Dhanmondi",dhanmondi,1.25,0.0,1.0,9124.09,medium
"2125 Square Feet Apartment For Sale In Bashundhara R-a, Block L",3.0,3.0,4.0,vacant,2125.0,dhaka,"Block L, Bashundhara R-A",bashundhara,2.0,0.0,1.0,9411.76,medium
Buy This 2687 Square Feet Flat In The Nice Area Of Banani,3.0,3.0,4.0,vacant,2687.0,dhaka,"Road No 25, Banani",banani,4.75,0.0,1.0,17677.71,medium
Modern 1150 Sq Ft Flat For Sale In Badda,3.0,3.0,3.0,vacant,1150.0,dhaka,"Middle Badda, Badda",badda,0.88,0.0,1.0,7652.17,low
"2119 Sq Ft Apartment For Sale In Bashundhara R-a, Near North South University",3.0,3.0,8.0,vacant,2119.0,dhaka,"Block B, Bashundhara R-A",bashundhara,1.9,0.0,1.0,8966.49,medium
Live A Restful Life In This 2318 Square Feet Flat For Sale In Bashundhara R-a,4.0,4.0,2.0,vacant,2318.0,dhaka,"Block D, Bashundhara R-A",bashundhara,2.3,0.0,1.0,9922.35,low
Worthy 1397 Sq Ft Nice Flat Is Ready For Sale At Demra,3.0,3.0,8.0,vacant,1397.0,dhaka,"Matuail, Demra",demra,0.8,0.0,1.0,5726.56,medium
Offering You 2400 Sq Ft Flat For Sale In Aftab Nagar,3.0,3.0,1.0,vacant,2400.0,dhaka,"Block H, Aftab Nagar",aftab nagar,2.0,0.0,1.0,8333.33,low
1300 Square Feet Residential Flat With Nicely Built Rooms Is Up For Sale In Shyampur,3.0,3.0,3.0,vacant,1300.0,dhaka,"West Dolairpar, Shyampur",shyampur,0.8,0.0,1.0,6153.85,low
Nice 1300 Sq Ft Flat Is Available For Sale In Shyampur,3.0,3.0,4.0,vacant,1300.0,dhaka,"West Dolairpar, Shyampur",shyampur,0.8,0.0,1.0,6153.85,medium
1300 Sq Ft Flat Is Now Vacant For Sale In Shyampur,3.0,3.0,6.0,vacant,1300.0,dhaka,"West Dolairpar, Shyampur",shyampur,0.8,0.0,1.0,6153.85,medium
1900 Sq Ft Residential Duplex Property Is Now For Sale Which Is In Bashundhara R-a,3.0,3.0,1.0,vacant,1900.0,dhaka,"Block B, Bashundhara R-A",bashundhara,2.1,0.0,1.0,11052.63,low
Property In Aftab Nagar– 1500 Sq Ft Flat For Sale,3.0,3.0,5.0,vacant,1500.0,dhaka,"Block H, Aftab Nagar",aftab nagar,1.1,0.0,1.0,7333.33,medium
Uttara Is Offering You A 1450 Sq Ft Residential Apartment Up For Sale,3.0,3.0,3.0,vacant,1450.0,dhaka,"Sector 10, Uttara",uttara,0.95,0.0,1.0,6551.72,low
Offering you 750 SQ FT flat for sale in Uttara 10,2.0,2.0,2.0,vacant,750.0,dhaka,"Sector 10, Uttara",uttara,0.62,0.0,1.0,8266.67,low
