Title,Bedrooms,Bathrooms,Floor_area,City,location_area,Price_in_Cr,Price_per_sqft,floor_level,Is_in_Dhaka
We Are Offering You A Very Spacious 1960 Sq Ft Flat For Sale In Gulshan 1,3.0,4.0,1960.0,dhaka,gulshan,3.9,19897.96,low,yes
Valuable 1705 Square Feet Apartment Is Ready To Sale In Kalabagan,3.0,3.0,1705.0,dhaka,kalabagan,1.69,9912.02,low,yes
1370 square feet apartment is ready to sale in Shukrabad,3.0,3.0,1370.0,dhaka,dhanmondi,1.25,9124.09,medium,yes
"2125 Square Feet Apartment For Sale In Bashundhara R-a, Block L",3.0,3.0,2125.0,dhaka,bashundhara,2.0,9411.76,medium,yes
Buy This 2687 Square Feet Flat In The Nice Area Of Banani,3.0,3.0,2687.0,dhaka,banani,4.75,17677.71,medium,yes
Modern 1150 Sq Ft Flat For Sale In Badda,3.0,3.0,1150.0,dhaka,badda,0.88,7652.17,low,yes
"2119 Sq Ft Apartment For Sale In Bashundhara R-a, Near North South University",3.0,3.0,2119.0,dhaka,bashundhara,1.9,8966.49,medium,yes
Live A Restful Life In This 2318 Square Feet Flat For Sale In Bashundhara R-a,4.0,4.0,2318.0,dhaka,bashundhara,2.3,9922.35,low,yes
Worthy 1397 Sq Ft Nice Flat Is Ready For Sale At Demra,3.0,3.0,1397.0,dhaka,demra,0.8,5726.56,medium,yes
Offering You 2400 Sq Ft Flat For Sale In Aftab Nagar,3.0,3.0,2400.0,dhaka,aftab nagar,2.0,8333.33,low,yes
1300 Square Feet Residential Flat With Nicely Built Rooms Is Up For Sale In Shyampur,3.0,3.0,1300.0,dhaka,shyampur,0.8,6153.85,low,yes
Nice 1300 Sq Ft Flat Is Available For Sale In Shyampur,3.0,3.0,1300.0,dhaka,shyampur,0.8,6153.85,medium,yes
1300 Sq Ft Flat Is Now Vacant For Sale In Shyampur,3.0,3.0,1300.0,dhaka,shyampur,0.8,6153.85,medium,yes
1900 Sq Ft Residential Duplex Property Is Now For Sale Which Is In Bashundhara R-a,3.0,3.0,1900.0,dhaka,bashundhara,2.1,11052.63,low,yes
Property In Aftab Nagar– 1500 Sq Ft Flat For Sale,3.0,3.0,1500.0,dhaka,aftab nagar,1.1,7333.33,medium,yes
Uttara Is Offering You A 1450 Sq Ft Residential Apartment Up For Sale,3.0,3.0,1450.0,dhaka,uttara,0.95,6551.72,low,yes
Offering you 750 SQ FT flat for sale in Uttara 10,2.0,2.0,750.0,dhaka,uttara,0.62,8266.67,low,yes
Visit This 2343 Sq Ft Flat For Sale In Uttara Sector 6.,3.0,3.0,2343.0,dhaka,uttara,2.2,9389.67,medium,yes
Vacant Now | 1185 Sq Ft | Three Bedrooms Apt. | Ready To Move,3.0,3.0,1185.0,dhaka,kalabagan,1.1,9282.7,medium,yes
"In A Great Location Of Bashundhara R-a, Block H, 1610 Sq Ft Apartment Is Up For Sale",3.0,3.0,1610.0,dhaka,bashundhara,1.31,8136.65,medium,yes
"You can buy this lovely apartment of 2180 sq ft to live a relaxed life at Bashundhara R-A, Block J",4.0,4.0,2180.0,dhaka,bashundhara,1.75,8027.52,medium,yes
"Wonderful Flat Covering An Area Of 3,650 Sq Ft Is Available For Sale In Gulshan 2",4.0,4.0,3650.0,dhaka,gulshan,7.8,21369.86,low,yes
2700 Square Feet Apartment For Sale In Gulshan 1,3.0,3.0,2700.0,dhaka,gulshan,5.5,20370.37,low,yes
Strongly Constructed 1175 Sq Ft Home Is Available To Sale In Baitul Aman Housing Society,3.0,2.0,1175.0,dhaka,adabor,0.83,7063.83,low,yes
Flat For Sale In Mirpur Section 6 Near Mosque,2.0,2.0,650.0,dhaka,mirpur,0.31,4769.23,low,yes
"1331 Sq Ft Apartment Is Now Available For Sale In Sector 4, Uttara",3.0,4.0,1331.0,dhaka,uttara,1.6,12021.04,low,yes
"2 Bedrooms Apartment For Sale In Nobodoy Housing Society, Mohammadpur",2.0,2.0,900.0,dhaka,mohammadpur,0.45,5000.0,medium,yes
"1350 Sq Ft Flat Sale In Free School Street Road, Kathalbagan",3.0,3.0,1350.0,dhaka,kathalbagan,1.42,10518.52,low,yes
Comfortable Flat Is Up For Sale In Pallabi Nearby City Club Ground,3.0,3.0,1200.0,dhaka,mirpur,0.75,6250.0,medium,yes
"Picture Yourself, Residing In This Well Constructed And Planned 2045 Sq Ft Apartment In Uttara-7, For Sale",3.0,3.0,2045.0,dhaka,uttara,2.36,11540.34,low,yes
Offering 1500 Sq Ft Flat For Sale In Niketan,3.0,3.0,1500.0,dhaka,niketan,2.5,16666.67,low,yes
Pleasant 1410 Sq Ft Residential Apartment For Sale In Shantinagar,3.0,3.0,1410.0,dhaka,shantinagar,1.38,9787.23,medium,yes
A Standard Lifestyle Is Awaiting You In This 650 Square Feet Flat Up For Sale In Sutrapur,2.0,2.0,650.0,dhaka,sutrapur,0.4,6153.85,medium,yes
A Flat With All Facilities Is Up For Sale At West Shewrapara Near Baitul Arafa Masjid,3.0,2.0,1220.0,dhaka,mirpur,0.5,4098.36,low,yes
1240 Square Feet Flat For Sale In The Location Of Shah Ali Bag,3.0,3.0,1240.0,dhaka,mirpur,0.73,5887.1,medium,yes
1700 Sq.Ft. Apartment For Sale In Dakshin Khan Close To Nogoriabari Mohammadia Jame Masjid,3.0,3.0,1700.0,dhaka,dakshin khan,0.65,3823.53,medium,yes
Flat For Sale Covering A Beautiful Area In West Agargaon Nearby Momataj Memorial High School,3.0,3.0,1400.0,dhaka,agargaon,0.85,6071.43,low,yes
Residential Apartment Is For Sale In Mirpur Nearby Baitul Jannah Jame Masjid And Madrasha Complex,3.0,3.0,1050.0,dhaka,mirpur,0.47,4476.19,low,yes
Nice 1240 Sq Ft Flat Is Available For Sale In Dakkhin Paikpara,3.0,3.0,1240.0,dhaka,mirpur,0.87,7016.13,medium,yes
1504 Sq Ft Flat Is For Sale In The Thriving Arena Of Keraniganj,3.0,3.0,1504.0,dhaka,keraniganj,0.71,4720.74,low,yes
Find 750 Sq Ft Flat Available For Sale In Kadamtali,2.0,2.0,750.0,dhaka,shyampur,0.4,5333.33,medium,yes
"Buy This Nice 750 Sq Ft Flat In Kadamtali, To Fulfill Your Wish",2.0,2.0,750.0,dhaka,shyampur,0.35,4666.67,medium,yes
Worthy 1585 SQ FT residence is for sale at Aftab Nagar,3.0,5.0,1585.0,dhaka,aftab nagar,1.4,8832.81,low,yes
1485 Sq ft Apartment with 3 bedrooms For Sale in Mohammadpur,3.0,3.0,1485.0,dhaka,mohammadpur,1.32,8888.89,medium,yes
"1545 Sq Ft Flat With 3 Modest Bedrooms For Sale In Mirpur-2, Block C",3.0,3.0,1545.0,dhaka,mirpur,1.4,9061.49,medium,yes
Completely suitable and ready flat of 1050 SQ FT for Sale in Kallyanpur,3.0,3.0,1050.0,dhaka,mirpur,0.82,7809.52,medium,yes
"Near Rampura Thana, 900 Sq.ft And 2 Bedroom Flat For Sale In West Rampura",2.0,2.0,900.0,dhaka,rampura,0.41,4555.56,medium,yes
1340 Sq.ft Apartment Is For Sale Close To Muslim para Jame Masjid At Madhya Ajampur,3.0,3.0,1340.0,dhaka,dakshin khan,0.62,4626.87,low,yes
"1400 Sq Ft Flat With 3 Bedrooms Is Up For Sale In Mohammadpur, Mohammadia Housing Society",3.0,3.0,1400.0,dhaka,mohammadpur,1.15,8214.29,medium,yes
A Nicely Build 1275 Sq Ft And 3 Bedroom Apartment Is Vacant For Sale In Uttar Badda .,3.0,3.0,1275.0,dhaka,badda,0.8,6274.51,low,yes
"An Apartment Is Up For Sale In Ibrahimpur, Near Ibrahimpur Central Jame Masjid.",2.0,2.0,1050.0,dhaka,ibrahimpur,0.48,4571.43,medium,yes
A Decent Apartment In Mohakhali Near Jabala ICDDRB Is Up For Sale,2.0,2.0,850.0,dhaka,mohakhali,0.55,6470.59,medium,yes
Flat For Sale In West Agargaon Nearby Bangladesh Public Service Commission,3.0,4.0,1440.0,dhaka,agargaon,0.73,5069.44,low,yes
"You Can Move Into This Well Planned And Comfortable Residential Flat In Uttara Sector 11 For Sale , Of 948 Sq Ft, Near Shaheed Monsur Ali Medical College And Hospital",2.0,3.0,948.0,dhaka,uttara,0.7,7383.97,medium,yes
Stunning 2644 Square Feet Apartment For Sale In Gulshan 1,4.0,4.0,2644.0,dhaka,gulshan,3.5,13237.52,medium,yes
Convenient 800 Square Feet Apartment For Sale In Dhanmondi,2.0,2.0,800.0,dhaka,dhanmondi,0.7,8750.0,medium,yes
A 2000 Sq Ft Flat Is Up For Sale In A Well Secured Location Of Bashundhara R-a,4.0,4.0,2000.0,dhaka,bashundhara,2.2,11000.0,medium,yes
"1593 Sq Ft Nicely Planned Apartment Is Available For Sale In Lalmatia, Block B",3.0,3.0,1593.0,dhaka,lalmatia,2.15,13496.55,medium,yes
A 1220 Sq Ft Home Is Available To Sale In West Shewrapara,3.0,2.0,1220.0,dhaka,mirpur,0.5,4098.36,medium,yes
1040 Sq Ft Properly Developed Flat For Sale In Rajanigandha Residential Area,2.0,2.0,1040.0,dhaka,mirpur,0.65,6250.0,low,yes
"A 1620 Sq Ft Residential Apartment For Sale, In Block C, Khilgaon",3.0,3.0,1620.0,dhaka,khilgaon,1.65,10185.19,medium,yes
Flat For Sale Covering A Beautiful Area In Bashundhara R-a Nearby Basundhara Residential Area Puja Mondop.,3.0,3.0,1550.0,dhaka,bashundhara,1.45,9354.84,medium,yes
"1000 Sq Ft Apartment For Sale In Pallabi, Mirpur",2.0,2.0,1000.0,dhaka,mirpur,0.55,5500.0,medium,yes
A Standard Apartment In Mirpur Near To M.A Zabbar Memorial High School Is Up For Sale,2.0,2.0,740.0,dhaka,mirpur,0.4,5405.41,low,yes
An Attractively Designed 1250 Sq Ft Apartment For Sale In Mirpur Section 10,3.0,3.0,1250.0,dhaka,mirpur,0.78,6240.0,medium,yes
"Buy This Modest 1430 Sq Ft Flat In Bashundhara R-a, Block J",3.0,3.0,1430.0,dhaka,bashundhara,1.2,8391.61,medium,yes
Celebrate Life Each Day In Your New Apartment Of 1690 Sq Ft At Boro Maghbazar With Your Beloved Family,3.0,3.0,1690.0,dhaka,maghbazar,1.48,8757.4,low,yes
A 1330 Square Ft. Apartment Is For Sale At Banasree,3.0,3.0,1330.0,dhaka,banasree,0.79,5939.85,low,yes
An Impressive 1230 Sq Ft Residential Apartment Is Up For Sale In The Center Of East Shewrapara Near To Jheelpar Jame Masjid,3.0,3.0,1230.0,dhaka,mirpur,0.74,6016.26,low,yes
An Apartment Of 1700 Sq Ft Is Ready For Sale At Uttara,3.0,3.0,1700.0,dhaka,uttara,1.7,10000.0,medium,yes
"1300 Sq Ft Residential Apartment Is Up For Sale At Uttara, Sector 10",3.0,3.0,1300.0,dhaka,uttara,0.8,6153.85,medium,yes
A Convenient 1175 Sq Ft Residential Apartment Is Prepared For Sale At South Pirerbag,3.0,2.0,1175.0,dhaka,mirpur,0.63,5361.7,medium,yes
"In East Monipur , 1265 Square Feet Apartment Is For Sale.",3.0,3.0,1265.0,dhaka,mirpur,0.85,6719.37,medium,yes
"Residential Apartment For Sale in Tipu Sultan Road, Middle Pirerbag",3.0,2.0,1000.0,dhaka,mirpur,0.57,5700.0,medium,yes
A Delightful Apartment Of 1554 Sq Ft Is Ready For Sale In A Great Location Of Pallabi,3.0,3.0,1554.0,dhaka,mirpur,1.15,7400.26,low,yes
1570 Sq Ft Flat For Sale In Imandipur Road near Imandipur Government Primary School,3.0,3.0,1570.0,dhaka,savar,0.56,3566.88,medium,yes
Visit This Apartment For Sale In East Monipur Near Life Aid Specialized Hospital Pvt. Ltd.,3.0,2.0,1050.0,dhaka,mirpur,0.45,4285.71,medium,yes
Check This Nice 815 Sq Ft Flat For Sale At East Monipur Nearby Monipur Baitur Rowshon Jame Masjid,2.0,2.0,815.0,dhaka,mirpur,0.42,5153.37,medium,yes
Stunning 2553 Square Feet Apartment For Sale In Uttara 5,4.0,5.0,2553.0,dhaka,uttara,3.8,14884.45,medium,yes
Commodious 1590 Sq Ft Flat For Sale In Banasree,3.0,3.0,1590.0,dhaka,banasree,1.12,7044.03,medium,yes
"2000 Sq Ft Flat For Sale In Banasree, Block A",4.0,4.0,2000.0,dhaka,banasree,2.15,10750.0,medium,yes
"Grab This 800 Square Feet Apartment For Sale In Bashundhara, Block J",2.0,2.0,800.0,dhaka,bashundhara,0.86,10750.0,medium,yes
950 Sq Ft Flat Featuring 3 Bedrooms For Sale In Malibagh,3.0,2.0,950.0,dhaka,malibagh,0.6,6315.79,low,yes
"Start Residing In This 1230 Sq Ft, Properly Developed Apartment For Sale, In West Shewrapara",2.0,2.0,1230.0,dhaka,mirpur,0.5,4065.04,medium,yes
"1150 Sq Ft Apartment With Serene Views Is Up For Sale In Middle Monipur, Mirpur",3.0,2.0,1150.0,dhaka,mirpur,0.65,5652.17,medium,yes
