Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Location,location_area,Price_in_Cr
We Are Offering You A Very Spacious 1960 Sq Ft Flat For Sale In Gulshan 1,3.0,4.0,3,vacant,1960.0,dhaka,"Gulshan 1, Gulshan",gulshan,3.9
Valuable 1705 Square Feet Apartment Is Ready To Sale In Kalabagan,3.0,3.0,1,vacant,1705.0,dhaka,"Lake Circus Road, Kalabagan",kalabagan,1.69
1370 square feet apartment is ready to sale in Shukrabad,3.0,3.0,6,vacant,1370.0,dhaka,"Shukrabad, Dhanmondi",dhanmondi,1.25
"2125 Square Feet Apartment For Sale In Bashundhara R-a, Block L",3.0,3.0,4,vacant,2125.0,dhaka,"Block L, Bashundhara R-A",bashundhara,2.0
Buy This 2687 Square Feet Flat In The Nice Area Of Banani,3.0,3.0,4,vacant,2687.0,dhaka,"Road No 25, Banani",banani,4.75
Modern 1150 Sq Ft Flat For Sale In Badda,3.0,3.0,3,vacant,1150.0,dhaka,"Middle Badda, Badda",badda,0.88
"2119 Sq Ft Apartment For Sale In Bashundhara R-a, Near North South University",3.0,3.0,8,vacant,2119.0,dhaka,"Block B, Bashundhara R-A",bashundhara,1.9
Live A Restful Life In This 2318 Square Feet Flat For Sale In Bashundhara R-a,4.0,4.0,2,vacant,2318.0,dhaka,"Block D, Bashundhara R-A",bashundhara,2.3
Worthy 1397 Sq Ft Nice Flat Is Ready For Sale At Demra,3.0,3.0,8,vacant,1397.0,dhaka,"Matuail, Demra",demra,0.8
Offering You 2400 Sq Ft Flat For Sale In Aftab Nagar,3.0,3.0,1,vacant,2400.0,dhaka,"Block H, Aftab Nagar",aftab nagar,2.0
1300 Square Feet Residential Flat With Nicely Built Rooms Is Up For Sale In Shyampur,3.0,3.0,3,vacant,1300.0,dhaka,"West Dolairpar, Shyampur",shyampur,0.8
Nice 1300 Sq Ft Flat Is Available For Sale In Shyampur,3.0,3.0,4,vacant,1300.0,dhaka,"West Dolairpar, Shyampur",shyampur,0.8
1300 Sq Ft Flat Is Now Vacant For Sale In Shyampur,3.0,3.0,6,vacant,1300.0,dhaka,"West Dolairpar, Shyampur",shyampur,0.8
1900 Sq Ft Residential Duplex Property Is Now For Sale Which Is In Bashundhara R-a,3.0,3.0,1,vacant,1900.0,dhaka,"Block B, Bashundhara R-A",bashundhara,2.1
Property In Aftab Nagar– 1500 Sq Ft Flat For Sale,3.0,3.0,5,vacant,1500.0,dhaka,"Block H, Aftab Nagar",aftab nagar,1.1
Uttara Is Offering You A 1450 Sq Ft Residential Apartment Up For Sale,3.0,3.0,3,vacant,1450.0,dhaka,"Sector 10, Uttara",uttara,0.95
Offering you 750 SQ FT flat for sale in Uttara 10,2.0,2.0,2,vacant,750.0,dhaka,"Sector 10, Uttara",uttara,0.62
Visit This 2343 Sq Ft Flat For Sale In Uttara Sector 6.,3.0,3.0,4,vacant,2343.0,dhaka,"Sector 6, Uttara",uttara,2.2
Vacant Now | 1185 Sq Ft | Three Bedrooms Apt. | Ready To Move,3.0,3.0,5,vacant,1185.0,dhaka,"Lake Circus Road, Kalabagan",kalabagan,1.1
"In A Great Location Of Bashundhara R-a, Block H, 1610 Sq Ft Apartment Is Up For Sale",3.0,3.0,4,vacant,1610.0,dhaka,"Block H, Bashundhara R-A",bashundhara,1.31
